"Date","Type","Details","Amount (BDT)","Tag","Payment Method"
"2025-11-25","expense","T n C","60.00","c n t","cash"
"2025-11-25","expense","transport","300.00","transport","cash"
"2025-11-24","expense","Others","200.00","c n t","cash"
"2025-11-24","expense","Riksha","170.00","transport","cash"
"2025-11-24","expense","riksha cng","240.00","transport","cash"
"2025-11-24","expense","bus","650.00","transport","cash"
"2025-11-24","expense","t nc","100.00","c n t","cash"
"2025-11-24","expense","t nc","210.00","c n t","cash"
"2025-11-23","expense","others","25.00","c n t","cash"
"2025-11-23","expense","Chicken","900.00","chicken","cash"
"2025-11-23","income","From zarif","12500.00","subscription","cash"
"2025-11-23","expense","Dr ammu","1370.00","medicine n dr","cash"
"2025-11-23","expense","kacha bazer","400.00","family bazer","cash"
"2025-11-23","expense","reza kaka","500.00","loan repayment","cash"
"2025-11-23","expense","ess","650.00","family bazer","cash"
"2025-11-23","expense","T n C","150.00","c n t","cash"
"2025-11-23","expense","CN","380.00","medicine n dr","cash"
"2025-11-22","expense","Rikhsa and others","100.00","transport","cash"
"2025-11-22","expense","t nc","100.00","c n t","cash"
"2025-11-22","expense","Jutaa","1690.00","personal shopping","creditcard"
"2025-11-22","expense","others","25.00","c n t","cash"
"2025-11-22","expense","others bongo","97.00","entertainment","creditcard"
"2025-11-21","expense","tnc","180.00","c n t","cash"
"2025-11-21","expense","tanzima shopping","2100.00","family and gift","cash"
"2025-11-21","expense","mobile","100.00","internet","creditcard"
"2025-11-21","expense","bike oil","500.00","bike","cash"
"2025-11-21","expense","selun","300.00","selun","cash"
"2025-11-20","expense","mobile","599.00","internet","creditcard"
"2025-11-19","expense","tnc","150.00","c n t","cash"
"2025-11-19","expense","Bhoomi due","2350.00","resturent","cash"
"2025-11-19","expense","Snacks","150.00","home snacks","cash"
"2025-11-19","expense","dimm","250.00","dim","cash"
"2025-11-18","expense","T n C","200.00","c n t","cash"
"2025-11-18","expense","Snacks","100.00","home snacks","cash"
"2025-11-16","expense","Tukutaki","525.00","family and gift","cash"
"2025-11-13","expense","Bazer","800.00","family bazer","cash"
"2025-11-13","expense","Sadia shopping","1000.00","family and gift","cash"
"2025-11-13","expense","T n C","300.00","c n t","cash"
"2025-11-13","expense","Tel kena","1200.00","family bazer","cash"
"2025-11-13","income","Loan return sohan","10000.00","loan repayment","cash"
"2025-11-12","expense","Gari vara","2500.00","medicine n dr","cash"
"2025-11-12","expense","Dublar chor other cost","2000.00","trip","cash"
"2025-11-12","expense","Sohan loan","15000.00","loan","cash"
"2025-11-12","expense","home/snacs/bazer","500.00","family bazer","cash"
"2025-11-12","expense","Sajib vai loan","5000.00","loan","cash"
"2025-11-12","expense","Home snacks dim","500.00","home snacks","cash"
"2025-11-12","expense","Test","2500.00","medicine n dr","cash"
"2025-11-12","expense","Loan saiful vai","30000.00","loan","cash"
"2025-11-11","expense","Chaal","3000.00","family issential","cash"
"2025-11-11","expense","Reza kaka","500.00","loan repayment","cash"
"2025-11-11","expense","Netflix, amazon","900.00","entertainment","cash"
"2025-11-11","expense","Passport","9000.00","family and gift","cash"
"2025-11-11","expense","Skin care + Toast","3675.00","skin care","cash"
"2025-11-11","expense","Kacchi dine","2005.00","resturent","cash"
"2025-11-10","expense","Modhu","2000.00","family issential","cash"
"2025-11-09","expense","Sadia shopping","1500.00","family and gift","cash"
"2025-11-08","expense","Net Bill","1200.00","internet","bcash"
"2025-11-06","expense","Replit (1 year)","5400.00","softwere","bcash"
"2025-11-05","expense","Tanzima (Before trip)","1000.00","family and gift","cash"
"2025-11-05","expense","Balish","2050.00","home improvement","cash"
"2025-11-05","expense","Loan repayment","3015.00","loan repayment","bcash"
"2025-11-03","expense","800","800.00","family bazer","cash"
"2025-11-03","expense","T n C","2000.00","c n t","cash"
"2025-11-02","expense","Tnc/ Resturent - others","3000.00","trip","cash"
"2025-11-02","expense","ID card print","120.00","trip","cash"
"2025-11-01","expense","shopping","4170.00","personal shopping","cash"
"2025-11-01","expense","Mobile","118.00","phone bill","bcash"
"2025-11-01","expense","Telitok Sim","250.00","trip","n/a"
"2025-10-28","expense","X ray","160.00","medicine n dr","cash"
"2025-10-28","expense","Bike Oil","500.00","bike","cash"
"2025-10-28","expense","Dr ammu","500.00","medicine n dr","cash"
"2025-10-28","expense","Medichine","160.00","medicine n dr","cash"
"2025-10-28","expense","T n C","100.00","c n t","cash"
"2025-10-27","expense","T n C","200.00","c n t","cash"
"2025-10-27","expense","Headgear gift and personal","2026.00","family and gift","bcash"
"2025-10-27","expense","Resturent","300.00","resturent","cash"
"2025-10-26","expense","Food and others expense","1000.00","family and gift","cash"
"2025-10-26","expense","Trip sundorbon","9000.00","trip","brackbank"
"2025-10-26","expense","Misti dr prodip bak","500.00","family and gift","cash"
"2025-10-25","expense","Fufu Donation","5000.00","donation","brackbank"
"2025-10-25","expense","Tanz Phone load","100.00","phone bill","bcash"
"2025-10-24","expense","t nc","300.00","c n t","cash"
"2025-10-24","expense","Chaal","1500.00","grocery","cash"
"2025-10-23","expense","Rosela tea","690.00","home snacks","cash"
"2025-10-22","expense","Dr - Khulna","4000.00","medicine n dr","cash"
"2025-10-22","expense","Dr Tanzima","4450.00","medicine n dr","cash"
"2025-10-22","expense","rikha","100.00","transport","cash"
"2025-10-22","expense","T N C","500.00","c n t","cash"
"2025-10-22","expense","Gher","30500.00","gher","brackbank"
"2025-10-22","expense","Bike Oil","500.00","bike","cash"
"2025-10-22","expense","T n C","100.00","c n t","cash"
"2025-10-21","expense","dim","330.00","dim","cash"
"2025-10-21","expense","Dr Tanz","779.00","medicine n dr","bcash"
"2025-10-21","expense","Accu fish","300.00","entertainment","cash"
"2025-10-20","expense","Home/ ssr","500.00","family and gift","cash"
"2025-10-20","expense","Koyel - mom","240.00","family issential","cash"
"2025-10-20","expense","T N C","400.00","c n t","cash"
"2025-10-20","expense","Gher","2000.00","gher","cash"
"2025-10-20","expense","Gher Loan","2000.00","gher","cash"
"2025-10-20","expense","camera bill","11900.00","gadget","brackbank"
"2025-10-19","expense","Pani","300.00","family issential","cash"
"2025-10-18","expense","SS Jomi","20000.00","others essential","brackbank"
"2025-10-18","expense","T N C Rakib dokan","500.00","c n t","cash"
"2025-10-18","expense","T n C","100.00","c n t","cash"
"2025-10-18","expense","Oil and others","1700.00","family issential","cash"
"2025-10-17","expense","Selun","150.00","selun","cash"
"2025-10-17","expense","Bazer","800.00","family bazer","cash"
"2025-10-17","expense","T n C","25.00","c n t","cash"
"2025-10-17","expense","Bazer ess","400.00","family issential","cash"
